ValueRateOverdue,ClientSize,SeniorityLevel,PercentUsed,NumberOfCollateral,IncomeLevel,CreditHistoryLength,LoanPurpose_business,LoanPurpose_car,LoanPurpose_education,LoanPurpose_home,MaritalStatus_divorced,MaritalStatus_married,MaritalStatus_single,RiskyBinary
0.37173493129772894,0.5,1.0,0.08038878383822701,0.75,0.4929956436136641,0.7628644520130935,False,False,False,True,False,False,True,0
0.9507546241247168,0.25,0.3333333333333333,0.8766685971344005,0.25,0.017914847655288543,0.4274913126352581,True,False,False,False,False,False,True,1
0.7309540827978158,0.25,0.6666666666666666,0.7288094999905934,0.5,0.07449843300136814,0.6267896429710963,True,False,False,False,False,True,False,1
0.5969601320493094,0.5,0.5555555555555556,0.3010698571129483,1.0,0.5106195286775027,0.7277882407575861,False,False,False,True,False,False,True,0
0.1521342583877113,0.0,1.0,0.5992118261149859,0.5,0.9699177117865596,0.6794881594770855,False,True,False,False,False,False,True,0
0.15211001916144262,0.25,0.6666666666666666,0.20079254274836988,0.0,0.6935365217019059,0.47057098466405883,False,True,False,False,False,True,False,0
0.05371556624143277,1.0,0.4444444444444444,0.8903020024138101,0.0,0.0709021931865093,0.387928751113139,False,False,False,True,True,False,False,0
0.8657989616537892,0.5,0.3333333333333333,0.11436783603418677,0.25,0.1894117777997115,0.3759843442671112,True,False,False,False,False,False,True,1
0.5994287914511179,0.5,0.6666666666666666,0.0032121287896984463,1.0,0.7716929240550936,0.6402012550430017,False,True,False,False,False,True,False,0
0.7069145802599269,0.25,0.6666666666666666,0.5017711956539895,1.0,0.8418479603037737,0.4948763974448191,True,False,False,False,False,True,False,1
0.016031254482150703,0.0,0.5555555555555556,0.5829540036855816,0.5,0.6179801882109172,0.8493860643700613,False,False,False,True,True,False,False,0
0.9700449693795674,1.0,0.7777777777777778,0.5787882584450451,0.25,0.6447234172398433,0.87496819625746,False,True,False,False,True,False,False,1
0.8318988597228955,0.0,0.3333333333333333,0.05392638020880855,1.0,0.028300121651141503,0.17048524023355624,False,False,False,True,False,True,False,1
0.20873287401432147,0.75,1.0,0.31366040344404283,0.0,0.8289313863323271,0.13614187306043857,False,False,True,False,False,True,False,0
0.1780680327893048,0.75,0.4444444444444444,0.49895975669151565,0.5,0.7886542776776827,0.6305487071097791,False,True,False,False,False,False,True,0
0.1796553761962631,0.25,0.3333333333333333,0.2161198690722284,0.75,0.2591242232412805,0.3012139534932315,False,True,False,False,False,True,False,0
0.30108988092650085,0.25,0.0,0.8726775494832006,0.0,0.7090121744920753,0.5065241235754658,False,False,False,True,False,True,False,1
0.5226931053427234,0.25,0.7777777777777778,0.08654913161102987,0.25,0.21491947739864017,0.8889156393785312,False,False,False,True,False,True,False,0
0.4294233320685695,0.75,0.0,0.48713604946027284,1.0,0.04029940357270873,0.22685294183955204,False,False,False,True,False,True,False,0
0.28801251139774303,0.0,0.4444444444444444,0.6913265811038317,0.0,0.20119389692523412,0.9295733219478993,False,False,False,True,False,False,True,1
0.610219704752031,0.0,0.5555555555555556,0.26132696700441377,0.75,0.1786738982996295,0.7176244235618615,False,True,False,False,False,True,False,1
0.13552786899226626,0.25,0.5555555555555556,0.6240989391873182,0.75,0.3378802055803046,0.762865383619837,False,True,False,False,False,False,True,0
0.28893254108254174,1.0,0.4444444444444444,0.8294031348683203,0.25,0.41862592538274035,0.2014013380857221,False,True,False,False,False,False,True,1
0.36351626635028744,0.0,0.2222222222222222,0.1898572190511471,0.0,0.5087646830439907,0.23415013599016485,False,True,False,False,False,False,True,1
0.4536674416767171,0.75,0.4444444444444444,0.9173069896721817,0.5,0.4769622508589398,0.521362629948521,False,False,False,True,False,False,True,1
0.7843987481555791,0.5,0.7777777777777778,0.5533616820154957,0.0,0.27077006279846627,0.17202546117453194,False,False,False,True,False,True,False,1
